date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,8.7,4.7,,0.3,,,,,,
2015-01-02,8.6,,,1,,,,,,
2015-01-03,4.7,,6.2,3.8,,,,,,
2015-01-04,1.5,-1.4,,7.1,,,,,,
2015-01-05,6.8,2.3,10,0,,,,,,
2015-01-06,7.2,,10.4,0.3,,,,,,
2015-01-07,5.9,0.7,,1,,,,,,
2015-01-08,9.1,,,1,,,,,,
2015-01-09,12.1,6.5,,12.4,,,,,,
2015-01-10,10,,,0,,,,,,
2015-01-11,6.1,2.7,9,0.8,,,,,,
2015-01-12,10.3,7.1,12.2,0.5,,,,,,
2015-01-13,7.8,,,13.7,,,,,,
2015-01-14,5.3,,,2,,,,,,
2015-01-15,8.1,,,7.9,,,,,,
2015-01-16,4.8,,7.6,0.5,,,,,,
2015-01-17,2.4,-2.8,7.3,0.3,,,,,,
2015-01-18,3.1,,,1,,,,,,
2015-01-19,2.1,,5,0.3,,,,,,
2015-01-20,1.1,-6.7,5,0,,,,,,
2015-01-21,3.3,,,0.5,,,,,,
2015-01-22,1.4,,4.3,0.3,,,,,,
2015-01-23,0.9,-8.2,,0,,,,,,
2015-01-24,5.1,,,2.8,,,,,,
2015-01-25,4.4,-1.2,8.4,0,,,,,,
2015-01-26,8.3,,,0.3,,,,,,
2015-01-27,5.8,,9.2,0.3,,,,,,
2015-01-28,6.7,,,0,,,,,,
2015-01-29,2.9,,7.4,1,,,,,,
2015-01-30,3.6,,6.7,1.5,,,,,,
2015-01-31,2.9,-0.7,,0.3,,,,,,
2015-02-01,3.6,,,3.3,,,,,,
2015-02-02,0.1,,,0,,,,,,
2015-02-03,1.3,-0.7,4.3,0,,,,,,
2015-02-04,2.7,0.7,,0.5,,,,,,
2015-02-05,2.4,,5.1,0,,,,,,
2015-02-06,2.4,-0.3,5.4,0.3,,,,,,
2015-02-07,2.9,,5.4,0,,,,,,
2015-02-08,4.9,,,0.3,,,,,,
2015-02-09,5.7,0.1,,0,,,,,,
2015-02-10,5.2,3.9,6.9,0,,,,,,
2015-02-11,4.9,,5.4,0,,,,,,
2015-02-12,3.8,,4.6,0,,,,,,
2015-02-13,6.2,,9.2,0,,,,,,
2015-02-14,6.6,,,7.1,,,,,,
2015-02-15,6.4,,9.5,0.3,,,,,,
2015-02-16,5.3,-0.2,8.6,0.3,,,,,,
2015-02-17,5.1,,9.2,5.6,,,,,,
2015-02-18,5.2,0,10.7,0,,,,,,
2015-02-19,6.3,,8.7,0,,,,,,
2015-02-20,6.2,,7.2,6.1,,,,,,
2015-02-21,4,,7.8,0.5,,,,,,
2015-02-22,3.4,-2.1,,1.5,,,,,,
2015-02-23,5.9,,,6.6,,,,,,
2015-02-24,6.6,3.5,,1.3,,,,,,
2015-02-25,8.5,4.6,12.3,1,,,,,,
2015-02-26,8.8,,11.4,1.5,,,,,,
2015-02-27,4.6,,9.9,4.6,,,,,,
2015-02-28,8.1,4.9,,0,,,,,,
2015-03-01,8.7,,11.7,1.8,,,,,,
2015-03-02,5.4,2.5,9,3.3,,,,,,
2015-03-03,5.7,2.7,9.9,0,,,,,,
2015-03-04,6.1,1.7,10.9,0,,,,,,
2015-03-05,5.9,-0.4,12.6,0,,,,,,
2015-03-06,8.4,,13.2,0,,,,,,
2015-03-07,9.8,5.9,16,0,,,,,,
2015-03-08,9.4,,,0,,,,,,
2015-03-09,6.9,1.2,,0,,,,,,
2015-03-10,7.8,,12.5,0.3,,,,,,
2015-03-11,8.1,2.8,13.9,0,,,,,,
2015-03-12,10,,14.6,0,,,,,,
2015-03-13,8.7,,11.6,0,,,,,,
2015-03-14,5.7,2.8,8.7,0,,,,,,
2015-03-15,5.9,4.9,7.3,0,,,,,,
2015-03-16,6.1,,8.3,1.5,,,,,,
2015-03-17,7.8,4,12.7,1.3,,,,,,
2015-03-18,6.8,,11.4,0,,,,,,
2015-03-19,6.7,,,0,,,,,,
2015-03-20,7.4,,12.1,0,,,,,,
2015-03-21,7.2,,,0,,,,,,
2015-03-22,5.9,,9.7,0,,,,,,
2015-03-23,7,0.9,12.2,0,,,,,,
2015-03-24,7,,10.7,2.8,,,,,,
2015-03-25,5.3,0.3,10.3,0.5,,,,,,
2015-03-26,7.7,3.5,13,3,,,,,,
2015-03-27,7.8,1.4,13.1,5.1,,,,,,
2015-03-28,11.2,6.9,14.3,0,,,,,,
2015-03-29,10.7,,,0,,,,,,
2015-03-30,8.7,,,4.8,,,,,,
2015-03-31,10.6,,13.4,1.5,,,,,,
2015-04-01,7.4,,12.3,0,,,,,,
2015-04-02,8.7,,11.9,1.5,,,,,,
2015-04-03,9.6,6.8,,1.5,,,,,,
2015-04-04,8.6,,10,3,,,,,,
2015-04-05,8.9,5.7,13.1,0.3,,,,,,
2015-04-06,9.5,1.8,17.4,0,,,,,,
2015-04-07,11.1,3.7,17.9,0,,,,,,
2015-04-08,12.1,,18.5,0,,,,,,
2015-04-09,11.4,,18,0,,,,,,
2015-04-10,13.3,6.2,21.3,0,,,,,,
2015-04-11,10.8,,14.1,0,,,,,,
2015-04-12,10.8,,18.3,0.5,,,,,,
2015-04-13,11.1,8,17.1,0,,,,,,
2015-04-14,13.9,5.7,22.2,0,,,,,,
2015-04-15,16.6,8.7,24.6,0.3,,,,,,
2015-04-16,11.9,,17.7,0,,,,,,
2015-04-17,10.8,,15.6,0,,,,,,
2015-04-18,9.6,,15.1,0,,,,,,
2015-04-19,8.2,4.8,11.9,0,,,,,,
2015-04-20,11,3.7,18.8,0,,,,,,
2015-04-21,11.8,4.6,19.1,0,,,,,,
2015-04-22,10.7,5.3,16.5,0,,,,,,
2015-04-23,11.1,6.1,,0,,,,,,
2015-04-24,12.1,,18.3,,,,,,,
2015-04-25,13.5,,18.6,1.5,,,,,,
2015-04-26,9.3,,,5.3,,,,,,
2015-04-27,8.4,,13.4,0,,,,,,
2015-04-28,8.6,3.1,,0,,,,,,
2015-04-29,9.2,,14.1,2,,,,,,
